ID Geography,County,State,Income (2013),Income (2014),Income (2015),Income (2016),Income (2017),Income (2018),Income (2013),Income (2014),Income (2015),Income (2016),Income (2017),Income (2018)
05000US45019,Charleston County, SC,51694,53308,57079,56827,60555,63459,2126,2837,2656,2249,3263,3872
05000US12015,Charlotte County, FL,43698,43039,45492,44200,52070,52927,1777,2406,2325,2614,2752,2153
05000US13051,Chatham County, GA,45263,50718,49252,53964,55352,55308,2147,1874,2406,3230,2521,4956
05000US37037,Chatham County, NC,56550,54229,55642,62961,57770,74959,3787,5527,6175,5276,7340,7082
05000US36013,Chautauqua County, NY,40413,41808,44460,42204,46079,45479,2140,1825,2933,2801,2670,2258
05000US35005,Chaves County, NM,45753,39696,38044,40960,44899,43941,4308,4771,6011,4319,4270,5849
05000US53007,Chelan County, WA,51101,50177,56890,52080,61615,57132,2605,6746,5321,8980,8398,5313
05000US36015,Chemung County, NY,45237,50232,53119,51269,51194,53005,3751,3882,3960,2894,4868,3786
05000US13057,Cherokee County, GA,64705,69711,74104,77950,76368,82069,5024,4741,4169,4271,4351,3450
05000US51550,Chesapeake city, VA,67252,66712,67491,72928,76629,80265,4158,1986,4112,4369,4106,4113
05000US33005,Cheshire County, NH,51945,56652,61780,56364,61257,59186,3307,4699,3733,6952,3786,6476
05000US42029,Chester County, PA,83633,85373,90503,92407,96656,99119,3372,3319,2326,2657,3279,3319
05000US51041,Chesterfield County, VA,66881,72878,75131,76059,80800,80655,2371,3077,3150,3368,4925,3052
05000US50007,Chittenden County, VT,64958,62004,67997,68843,64444,75852,5982,3447,3672,5710,5029,5634
05000US21047,Christian County, KY,45206,35755,39827,41140,43940,38448,5471,2516,2251,4263,3786,3428
05000US29043,Christian County, MO,51342,51692,53730,53172,59161,56717,4185,2366,4238,4634,4596,4486
05000US12017,Citrus County, FL,40015,35671,40294,39206,43548,39964,3181,2376,3717,4485,2964,4030
05000US41005,Clackamas County, OR,66758,65316,69629,74891,79878,81278,2466,2903,2898,3232,3062,2579
05000US53009,Clallam County, WA,46566,46469,44929,48587,47907,59001,3259,4951,4018,5198,3155,5412
05000US18019,Clark County, IN,50760,52674,51828,51401,52036,56307,2586,2827,3901,2832,2892,4841
05000US32003,Clark County, NV,51057,51214,51552,54384,57189,57076,747,745,864,1187,970,1052
05000US39023,Clark County, OH,43742,41729,47963,46811,46665,49875,2930,1303,3106,3343,3411,2161
05000US53011,Clark County, WA,57588,61741,64275,69062,74747,74060,2105,1371,2931,2069,2965,2478
05000US13059,Clarke County, GA,31551,29996,31284,34999,39825,42232,2671,2144,2592,5430,4230,2154
05000US12019,Clay County, FL,57757,58153,58676,56315,65247,61825,4052,4131,3398,2720,3957,3284
05000US29047,Clay County, MO,60541,61384,65090,65430,66938,68269,2255,2851,2071,4249,4300,3849
05000US13063,Clayton County, GA,40754,43287,42120,45252,45172,46646,2159,1555,3354,2895,2880,3495
05000US42033,Clearfield County, PA,39236,39592,44666,47352,48581,46205,3627,2878,3345,4313,3188,4126
05000US39025,Clermont County, OH,61702,62554,62054,60661,65632,64526,1894,2631,3565,2390,3671,2905
05000US37045,Cleveland County, NC,40581,37433,38885,36992,37205,40690,2344,4953,4073,2520,3323,3708
05000US40027,Cleveland County, OK,54340,58286,59336,61288,61213,62096,2732,3422,2592,2080,2020,2547
05000US26037,Clinton County, MI,59569,58453,63764,65730,62175,69522,5876,4322,4365,3138,5514,5035
05000US36019,Clinton County, NY,43892,53575,45377,55316,58234,56704,5665,4245,3652,4840,4388,5379
05000US13067,Cobb County, GA,63086,67043,70246,70947,75654,78894,2094,2084,2131,2173,2939,3138
05000US04003,Cochise County, AZ,46647,45688,43291,45508,51816,50495,3806,2754,4853,3151,5252,3862
05000US04005,Coconino County, AZ,50637,49757,53152,55091,54893,61843,4486,5462,4204,4663,4668,3885
05000US29051,Cole County, MO,50780,51210,56855,55303,52609,63568,4791,2516,4688,3448,5105,4309
05000US12021,Collier County, FL,54406,58026,62126,61228,66048,69867,4231,2918,2536,3372,3069,3962
05000US48085,Collin County, TX,80273,86040,86217,89638,94933,96051,2542,2639,2184,2679,2291,3181
05000US12023,Columbia County, FL,45220,38520,47808,42019,40811,48848,4578,3616,6031,5563,5463,6174
05000US13073,Columbia County, GA,72167,66925,75440,72737,74164,82024,5368,3491,6599,6630,4654,5183
05000US42037,Columbia County, PA,46530,48540,42599,49186,51726,50601,3772,4507,4486,4210,3449,2735
05000US39029,Columbiana County, OH,42100,42640,41887,47864,41818,43745,3513,3345,2127,4294,3128,3359
05000US48091,Comal County, TX,72759,62389,67363,77425,71060,76203,4468,7351,6448,4726,5692,3800
05000US40031,Comanche County, OK,41488,47235,47587,51164,51059,52089,3674,4394,3680,5828,2197,2973
05000US06013,Contra Costa County, CA,79100,80361,83104,91045,95339,101618,3132,1989,2818,1609,2701,1585
05000US17031,Cook County, IL,53827,55069,56851,60046,61405,63353,876,652,656,784,665,1098
05000US48099,Coryell County, TX,51217,47042,45998,51125,52769,46131,2705,4682,5477,3069,3443,7895
05000US13077,Coweta County, GA,61351,59506,67351,71220,72787,69240,6140,4473,5719,3653,6539,4495
05000US53015,Cowlitz County, WA,48417,42223,49949,50637,49456,59225,3560,2904,3647,4377,2785,4614
05000US05031,Craighead County, AR,41134,42691,40085,43678,50422,44810,4065,3605,5153,3284,3825,2712
05000US37049,Craven County, NC,44963,43380,48145,49938,51789,50509,2920,2773,3100,2997,3141,5078
05000US42039,Crawford County, PA,44575,44598,46574,45410,50657,51502,2616,3003,2722,3154,4174,2768
05000US40037,Creek County, OK,44469,47286,46665,43609,46877,55264,3948,4072,4325,4159,2555,3117
05000US01043,Cullman County, AL,39936,38261,37862,39411,45044,44612,3154,4000,2318,3647,5645,3562
05000US23005,Cumberland County, ME,54780,61992,64215,65913,71975,72452,2675,2436,3365,2317,3598,3523
05000US37051,Cumberland County, NC,43609,42248,42107,45205,43759,46716,2349,1350,1521,1922,1587,1524
05000US34011,Cumberland County, NJ,45978,45339,51315,49110,52627,52795,2820,2682,2930,6123,4020,6151
05000US42041,Cumberland County, PA,60088,62759,63890,63530,69301,71802,2443,2591,3665,3367,3288,2297
05000US39035,Cuyahoga County, OH,43501,44016,45297,46601,46784,49910,1147,960,1211,898,871,888
05000US27037,Dakota County, MN,73475,76213,77196,78662,80832,86302,3805,1680,3264,2894,1758,2510
05000US19049,Dallas County, IA,78837,77412,78634,75899,88561,83990,6441,6881,6323,8802,6088,5477
05000US48113,Dallas County, TX,47810,50076,51799,54399,56718,59839,1000,932,630,1091,1077,1022
05000US55025,Dane County, WI,60081,61582,65202,70796,72268,71582,1450,1791,1743,1998,1767,1545
05000US45031,Darlington County, SC,31674,34651,33922,36841,37465,33521,4326,3902,5820,3892,5418,3888
05000US42043,Dauphin County, PA,53816,52975,54232,60331,61622,57814,2220,2580,2426,1898,2044,3342
