County,State,SizeRank,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Butler County,Ohio,170,125150,115925,117883,114092,116800,125292,127983,130192,144533,152383,161850,169167,165500
Butler County,Pennsylvania,313,167230,170000,169858,183625,193733,191483,201025,215225,209750,218133,233117,236617,225000
Butler County,Missouri,894,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,93600,112833,110483,107750
Butte County,California,266,235330,208492,182925,171667,172192,202375,222783,236592,250708,272350,292383,331350,324700
Butts County,Georgia,1150,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,133364,141992,140800
Cabarrus County,North Carolina,323,139400,138492,132542,129825,137067,138617,145200,158275,168117,175975,193008,215475,224650
Cache County,Utah,480,164300,162725,158067,157858,160692,165508,169950,174958,186800,206867,232925,252208,260400
Calaveras County,California,860,291200,222683,194558,172408,166017,203092,225283,250008,275825,297000,310933,322917,334800
Calcasieu Parish,Louisiana,303,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,132980,133367,144342,148992,168775,178350,183983,177925,178350
Caldwell County,North Carolina,596,92900,92233,94300,90850,84183,103258,106475,118683,115300,117933,126717,141267,143900
Caldwell County,Texas,956,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,114055,120958,131983,136858,152958,166658,181025,196792,223450
Calhoun County,Michigan,421,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,51425,58683,71767,79075,89483,97992,102092,109125,115950
Calhoun County,Alabama,461,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,86400,98983,95692,108058,104600,99700
Calloway County,Kentucky,970,#DIV/0!,#DIV/0!,#DIV/0!,114483,124425,114875,122083,127533,123283,124417,132508,144458,135500
Calumet County,Wisconsin,826,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,173833,183483,193550,214208,223250
Camden County,Georgia,811,147480,139758,136267,117742,107692,110125,117158,129558,128742,129800,136617,166050,176200
Camden County,North Carolina,1272,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,241818,235342,242900
Campbell County,Kentucky,565,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,122778,128850,137475,143025,186450
Campbell County,Virginia,775,147350,149208,146725,137250,142867,140250,151033,150267,146800,153800,164575,172650,165900
