County,State,SizeRank,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Knox County,Ohio,731,#DIV/0!,#DIV/0!,#DIV/0!,67700,73600,82725,95958,116942,124308,132617,142492,142442,165500
Knox County,Illinois,785,59230,56742,62008,61192,62250,69283,61400,69775,67042,71233,75750,80792,#DIV/0!
Knox County,Maine,938,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,221600,244750,247400,265250
Kosciusko County,Indiana,623,114700,103908,122758,119317,127217,130400,127967,142175,140983,151117,167192,171750,179950
La Crosse County,Wisconsin,473,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,155745,151742,164275,173750,186883,196458,197050
La Plata County,Colorado,805,324830,302750,321867,301125,299217,313575,328475,334342,339525,346958,361733,360775,377100
La Porte County,Indiana,482,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,118600,112325,118975,127875,121892,131683,135717,130850
La Salle County,Illinois,476,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,80317,79000,80258,82067,93350,95633,101433,106250,123600
Lackawanna County,Pennsylvania,271,#DIV/0!,#DIV/0!,#DIV/0!,96000,102492,105300,103367,106750,104667,106550,115850,114417,137050
Laclede County,Missouri,995,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,96755,104642,107217,107892,113033,127150,142750
Lafayette Parish,Louisiana,264,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,163900,166892,169950,166883,169692,173208,178358,189100
Lafourche Parish,Louisiana,543,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,152733,156450,164175,153550,163525,158350,161992,151300
Lagrange County,Indiana,971,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,143625,147258,159208,187650
Lake County,Illinois,79,233210,196492,198867,178900,161667,172083,193875,188892,180600,199375,223242,235633,254150
Lake County,Indiana,124,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,129613,115467,122850,133092,145325,151517,159375,168250
Lake County,Florida,205,170400,134892,124383,114717,121308,136183,147558,157467,171617,190658,211067,226508,237550
Lake County,Ohio,259,127760,118350,119567,112700,111583,114800,117058,117142,123167,128275,134083,140458,138350
Lake County,California,702,211530,151925,130842,106808,119825,144125,159267,191717,219408,227733,248275,249083,243750
Lake County,Montana,1069,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,249729,238825,289200,290100,303950
Lake County,Minnesota,1268,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,107700,124175,129375,138817,156708,159400
Lampasas County,Texas,1204,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,122183,129275,141125,145433,163992,164308,178967,203100
Lancaster County,South Carolina,629,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,142957,138300,173708,197183,196117,218983,236117,268850
Lane County,Oregon,175,220420,206317,199825,179842,178883,198675,208150,214450,229542,249567,275517,295533,323300
Lanier County,Georgia,1271,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,108108,111717,127025,136800
Lapeer County,Michigan,578,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,145422,150658,161675,#DIV/0!
Laramie County,Wyoming,561,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,195800,202933,216008,220392,238567,253567,261367,276200
Larimer County,Colorado,202,#DIV/0!,#DIV/0!,#DIV/0!,210130,217908,231500,244500,276742,308425,339658,363067,381375,396850
Las Animas County,Colorado,1245,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,114833,133075,146817,139850
Latah County,Idaho,967,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,193489,201250,211267,208542,217950,231108,257358,276000
Lauderdale County,Alabama,558,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,107338,104950,110108,117400,129508,125450,124850
Laurel County,Kentucky,747,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,130917,134092,131008,139075,143050
Laurens County,South Carolina,686,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,75367,88833,88475,88458,99550,101350,100200
Laurens County,Georgia,831,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,74520,91225,90442,107400,89767,101833,88900
Lawrence County,Pennsylvania,562,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,55700,59650,56917,76942,77800,71700,74833,72592,81100
Lawrence County,Indiana,851,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,108200,104375,116750,122200
Lawrence County,Tennessee,910,64020,63633,73650,69392,69917,76117,79083,78350,91150,99950,104392,109775,140350
Lawrence County,Missouri,948,#DIV/0!,#DIV/0!,#DIV/0!,70900,76583,77167,77700,89858,89983,100275,103042,110083,96700
Lawrence County,Alabama,1009,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,110350,126675,132142,141500
Lawrence County,South Dakota,1145,#DIV/0!,#DIV/0!,#DIV/0!,179029,182800,177475,186525,211008,209467,220425,230517,259917,281850
Le Sueur County,Minnesota,1093,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,135873,127900,142133,139067,145692,158192,179842,193325,218750
Leavenworth County,Kansas,632,132280,132142,140375,131142,131275,132892,141242,153575,160767,171325,183275,197733,201900
Lebanon County,Pennsylvania,426,139960,135842,144892,134192,137408,144758,138642,141817,139408,149175,154825,163325,164250
Lee County,Florida,95,168020,92250,90350,98758,120533,142425,157775,176850,178367,192300,218392,226808,243150
Lee County,Illinois,987,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,102443,96983,103192,93000
Lee County,Iowa,990,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,77233,75083,85058,87025,85867,87450,#DIV/0!
Lee County,Georgia,1080,148730,148408,152442,147133,134408,144650,143200,140092,141683,145300,152667,174900,150000
Lehigh County,Pennsylvania,178,163800,156075,150908,137808,137308,138200,137292,135567,145175,152133,164608,169967,180200
Lenawee County,Michigan,526,#DIV/0!,#DIV/0!,#DIV/0!,58750,65992,76083,87342,104075,114458,122417,126567,134492,141700
Lenoir County,North Carolina,742,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,75900,84733,80367,75000
Leon County,Florida,220,170350,162033,152900,137450,145542,146467,142617,150825,156000,166150,175108,183692,188600
Lewis and Clark County,Montana,714,195180,192258,195483,186933,192658,201550,208525,218242,229783,242967,250983,268492,271200
Lewis County,Washington,638,175950,157833,148392,131150,134683,133608,136433,151375,164200,181892,206683,239792,268650
Lewis County,New York,1101,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,97825,108317,115125,105350
Lexington County,South Carolina,234,121770,120950,119283,112783,111517,112675,117967,125983,134367,137792,143775,154900,160250
Liberty County,Texas,636,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,120558,116700,136992,146542,154408,164567,#DIV/0!
Liberty County,Georgia,712,118310,116775,113267,105433,106292,95017,100708,97817,103692,109900,121925,127908,130500
Licking County,Ohio,345,124730,122100,124808,120908,120200,136725,165133,172325,160575,163058,172242,187058,183800
Limestone County,Alabama,600,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,129886,124683,124542,120825,138233,141017,159350,174400,177400
Lincoln County,North Carolina,618,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,153758,160875,177483,168767,175900,195558,219550,246175,253600
Lincoln Parish,Louisiana,846,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,175243,185192,183783,200200,#DIV/0!
Linn County,Iowa,274,#DIV/0!,#DIV/0!,126586,126283,129133,132725,133483,138100,137967,143342,148492,157692,161700
Linn County,Oregon,467,163930,155400,143725,132433,137542,147192,156008,167658,180675,202558,236117,251025,271250
Litchfield County,Connecticut,306,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,197329,200475,200667,193308,193975,203508,208675,206075,235350
Livingston County,Michigan,318,#DIV/0!,#DIV/0!,132383,138925,146692,167700,183475,201517,213800,234150,248908,259725,269750
Livingston County,New York,697,100920,102675,116008,114658,116558,122408,116475,118533,126275,121283,121617,137467,132350
Livingston Parish,Louisiana,440,149730,148833,142758,139125,142833,146508,153800,161467,166717,155825,162525,171958,178300
Logan County,Oklahoma,911,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,155413,163117,181708,176500,190250,182450,182917,203408,189900
Logan County,Kentucky,1104,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,99100,112892,114425,111500,#DIV/0!
Logan County,Colorado,1162,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,111543,115683,113292,125833,128375,149750,155717,179000
Long County,Georgia,1253,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,122160,128958,151850,154592,159400
Lonoke County,Arkansas,677,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,131245,128125,123117,124575,124992,128733,131967,140483,141000
Lorain County,Ohio,201,#DIV/0!,#DIV/0!,#DIV/0!,97025,98483,106858,114042,119308,120283,129800,134542,143467,138750
Los Alamos County,New Mexico,1215,#DIV/0!,242057,255233,253167,269333,256317,228075,230800,268467,292958,318058,355925,359050
Los Angeles County,California,1,396350,312367,331517,316367,322492,399233,428750,456533,486992,513675,573767,607275,635700
Loudon County,Tennessee,829,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,183540,203858,217308,228417,235500
Loudoun County,Virginia,194,330030,314717,347575,352125,364950,398400,410500,413233,423667,440342,456267,504400,502800
Louisa County,Virginia,1024,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,144400,168275,185758,192708,200275,208092,212850,238725,253500
Lowndes County,Georgia,488,120840,127500,127650,118183,119050,117667,115183,118133,123800,126583,136183,144858,155000
Lucas County,Ohio,140,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,70333,71125,77392,86967,93367,96775,97983,105433,118500
Lumpkin County,Georgia,1060,#DIV/0!,149017,140750,134317,132058,137558,148167,157117,162417,168983,186583,212317,214100
Lynchburg City,Virginia,637,127190,120742,125325,117275,118900,127700,122942,126550,125492,131500,136433,139933,151300
Lyon County,Nevada,800,178850,132083,121425,97683,101583,121925,141442,167450,185325,217717,249492,264967,280450
Macomb County,Michigan,57,101330,65883,69192,61925,68675,89875,107983,120633,133183,143783,153433,164850,169200
Macon County,North Carolina,1013,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,160800,161742,164283,177025,185475,199925,227650
Madera County,California,387,#DIV/0!,133433,135667,130775,132533,156575,184725,196792,208850,229567,247958,267342,283100
Madison County,Alabama,183,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,130050,128583,134092,137808,145992,151325,168967,180417,194100
Madison County,Illinois,226,101180,101458,103392,99425,109133,97675,105075,112308,115175,116267,117333,127017,129700
Madison County,Indiana,429,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,71925,73225,75550,77892,84958,93092,103292,108917,99150
Madison County,Tennessee,538,90730,91233,90925,85125,89083,90117,92875,99375,100692,114800,128975,133167,150500
Madison County,Mississippi,550,#DIV/0!,#DIV/0!,199943,194058,204358,208308,209800,211667,214425,212608,226658,234800,242200
Madison County,Kentucky,597,140670,128608,127233,129608,138517,138742,135025,139633,148375,147425,155600,166308,184600
Madison County,Ohio,888,#DIV/0!,#DIV/0!,116060,100142,105150,120392,117942,130125,134583,144842,158217,154925,156550
Madison County,Idaho,966,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,215060,209058,245358,261350
Madison County,Nebraska,1005,#DIV/0!,#DIV/0!,#DIV/0!,108544,126317,111967,115050,123100,138683,144992,159917,166008,159450
Madison County,Georgia,1087,118540,121558,114558,102358,84283,107650,102375,113942,131350,127067,140783,160675,194200
Madison County,Iowa,1244,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,137200,138133,163542,173783,168108,185417,189900
Mahaska County,Iowa,1167,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,93108,108867,105758,117183,117900
Mahoning County,Ohio,250,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,76443,78217,84200,90717,94117,87800
Malheur County,Oregon,1050,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,93209,112142,112775,106217,116925,122525,135342,153133,172600
Manassas City,Virginia,960,#DIV/0!,#DIV/0!,168140,183567,208400,239475,251308,259558,270225,280975,295192,315325,342450
Manassas Park City,Virginia,1255,#DIV/0!,151614,184275,172092,196650,224567,234250,254642,281517,263817,285483,307558,306700
Manatee County,Florida,187,211110,161750,153908,144583,147983,165675,181192,208500,228017,239542,251917,265875,281700
Manistee County,Michigan,1136,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,84250,84867,96408,100592,116825,115425,127458,154200
Manitowoc County,Wisconsin,606,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,92714,90675,97667,91633,94942,112850,116300
Maricopa County,Arizona,4,196620,129717,127875,114192,123667,151783,160733,177942,198325,215483,237758,255017,277900
Marin County,California,240,775560,649642,677817,636792,644550,775817,841075,905800,933217,1030525,1112225,1119533,1130100
Marinette County,Wisconsin,912,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,80050,80767,85642,88508,96325,99100
Marion County,Indiana,51,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,129443,139150,151408,162400
Marion County,Florida,184,132020,105975,88583,78475,87100,91983,91717,99608,112325,126508,139792,152433,168750
Marion County,Oregon,192,188100,179308,162217,146242,145775,155375,172433,185900,207433,234108,263150,279308,295550
Marion County,Ohio,687,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,78167,81858,83492,88192,88083,88883,103800
Marion County,West Virginia,758,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,99733,111075,121125,119300
Marion County,Missouri,1068,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,86160,97892,94117,111300,123950,#DIV/0!
Marion County,Tennessee,1084,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,95350,117958,116658,126675,134500
Mariposa County,California,1214,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,167100,196783,216550,223825,235092,272908,269375,265700
Marquette County,Michigan,681,#DIV/0!,#DIV/0!,111590,108500,117533,119683,120833,130208,133725,139133,149167,156467,159700
Marquette County,Wisconsin,1247,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,104275,108150,120358,125242,#DIV/0!
Marshall County,Alabama,557,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,86286,91758,95758,101517,105408,114375,126242,160950
Marshall County,Iowa,927,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,89456,83342,88692,101742,103100,108058,120333,123650
Marshall County,Tennessee,1056,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,135357,143833,168808,169550
Martin County,Florida,398,218330,168767,155167,143125,152992,171867,189792,205175,234225,244900,260783,283375,289350
Mason County,Washington,732,178310,161817,173650,153333,163442,157842,161717,170108,183075,213950,242017,256517,282500
Mason County,Michigan,1071,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,106230,108142,103817,110225,108092,128050,135908,130550
Maui County,Hawaii,376,531780,432792,419033,400008,400833,455517,484842,512508,541808,586242,614008,652883,681700
Maury County,Tennessee,608,122440,119275,122067,106817,114717,128075,134650,155783,165075,178767,190292,220083,238250
Mayes County,Oklahoma,920,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,106120,100600,114183,112917,130125,149000
McClain County,Oklahoma,1008,125080,122600,130258,123333,135183,143192,163650,157083,152883,173742,182917,189558,215300
McCracken County,Kentucky,695,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,125857,124742,121133,125950,129108,132308,133608,134975,147500
McDowell County,North Carolina,866,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,102925,107217,124850,133500
McHenry County,Illinois,197,201240,186592,174892,155150,144492,147108,163783,166575,167300,180417,198058,211058,219850
McLean County,Illinois,339,#DIV/0!,#DIV/0!,#DIV/0!,150471,149092,151275,148808,151283,149458,153717,156575,155108,158050
McLennan County,Texas,254,#DIV/0!,#DIV/0!,#DIV/0!,117833,123417,121808,124767,137558,145017,161575,168283,179383,188550
McLeod County,Minnesota,983,133860,110300,113283,104533,99950,114092,129525,137442,140567,150908,156475,175208,174750
McMinn County,Tennessee,796,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,88022,93950,101283,103600,114650,129733,137500
Meade County,Kentucky,1074,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,133600,140842,149825,154792,154108,163150,189250
Meade County,South Dakota,1126,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,166622,173908,185033,190967,201208,211942,220925,228800,225250
Mecklenburg County,North Carolina,45,155150,150317,152275,146383,151500,168792,179700,191333,197850,199717,228833,245200,271300
Medina County,Ohio,334,154000,142283,142050,136400,146933,155175,157425,166283,168383,179758,186800,199192,210200
Medina County,Texas,853,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,170091,182042,186183,193442,200283,212258,240750,256958,221800
Meeker County,Minnesota,1159,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,107300,111508,111692,118467,131200,138183,153167,149025,157600
Mendocino County,California,580,328990,250833,259150,217867,225750,258617,285100,304808,334033,366333,375958,380208,#DIV/0!
Merced County,California,237,#DIV/0!,112675,117358,112017,117758,147033,171000,193517,212875,235683,253000,266308,276400
Mercer County,New Jersey,171,244040,222483,217567,199892,205908,205992,209800,210725,198650,196717,195092,205317,229000
Mercer County,Ohio,926,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,117567,109158,126325,120975,109192,120875,132000,136883,134250
Merrimack County,New Hampshire,397,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,229586,242450,249058,267550
Mesa County,Colorado,395,214380,207425,185542,159808,162225,169700,177233,185333,197208,209925,228900,248408,267600
Miami County,Ohio,512,117710,119767,109700,109383,116542,113367,119817,121058,122850,133783,136475,143492,164050
Miami-Dade County,Florida,7,246350,162300,153100,140325,162233,190942,204458,220008,237167,258575,271733,284242,295150
Middlesex County,Massachusetts,20,346780,335325,356558,345817,357017,376150,395517,413492,432233,461067,493583,509317,526000
Middlesex County,New Jersey,60,310690,278850,267767,249058,241383,247975,257925,255650,254533,265250,284375,304642,322900
Middlesex County,Connecticut,348,251580,234033,237058,243408,230258,230800,232183,225575,235950,239992,243192,253375,265000
Middlesex County,Virginia,1267,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,220667,206733,240183,282300
Midland County,Texas,417,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,246186,276408,298283,302750
Midland County,Michigan,594,114210,109233,117217,112792,111867,112525,122167,123500,124533,129367,136892,142875,141850
Mille Lacs County,Minnesota,1114,110710,93408,87342,87633,92867,105908,118875,136692,143692,158842,172325,181175,174800
Miller County,Missouri,1134,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,98800,98342,103242,117975,110250,114600,128908,138067,165200
Milwaukee County,Wisconsin,41,151800,132125,131475,119150,110183,117383,126000,133983,139383,146992,155317,166375,183600
Minidoka County,Idaho,1200,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,106200,115183,114633,121117,134258,147358,159633,175200
Missoula County,Montana,487,224190,223867,220675,219050,216750,228317,230867,245525,259625,275150,292350,315008,337400
Mobile County,Alabama,156,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,115900,133650,129808,136300
Mohave County,Arizona,292,170070,132217,118800,113242,122658,135750,144817,159233,168050,179525,203992,221075,231400
Monmouth County,New Jersey,89,359000,334108,338458,324583,321733,331142,339808,347550,349883,359075,368742,387658,399050
Mono County,California,1256,#DIV/0!,#DIV/0!,291775,285608,295708,294025,333425,324667,317583,360500,407142,479175,463300
Monongalia County,West Virginia,545,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,194075,192400,196375,197925,205867,210600
Monroe County,New York,71,#DIV/0!,#DIV/0!,119050,119858,123533,122983,122758,122492,123167,130433,134925,142233,147200
Monroe County,Pennsylvania,338,162770,146925,135567,118100,114333,107575,98192,91583,100583,119108,139450,150967,154900
Monroe County,Michigan,383,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,97033,110083,123675,124483,135292,140708,152825,161417,162400
Monroe County,Indiana,413,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,161390,166925,177883,192208,200500
Monroe County,Tennessee,873,86930,93150,93025,93933,85292,90525,99333,110025,119183,126442,136458,149142,163400
Monroe County,Illinois,1029,#DIV/0!,#DIV/0!,#DIV/0!,149300,155567,155258,169758,166883,156983,173183,186042,189117,200150
Montcalm County,Michigan,715,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,88200,93467,102342,119542,129008,132350
Monterey County,California,154,#DIV/0!,233050,247425,246633,284450,362083,421542,450475,492225,551500,581225,589233,630050
Montezuma County,Colorado,1124,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,157050,159317,172483,178650,183058,182458,217867,225525,201600
Montgomery County,Maryland,38,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,387538,401092,423450,429525,443200
Montgomery County,Pennsylvania,66,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,246600,244300,246642,254450,260575,267150,281267,303350
Montgomery County,Ohio,112,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,81033,88458,91208,97317,100867,108583,114258,123700
Montgomery County,Texas,136,173270,173317,178850,182575,189192,200850,213367,220683,225533,234208,241433,257400,266050
Montgomery County,Alabama,260,108300,107275,103417,91817,85567,83742,87333,88300,93742,97892,104400,110858,126850
Montgomery County,Tennessee,335,115780,122942,120417,126692,131208,126042,127242,130742,139308,145000,158808,171992,186100
Montgomery County,Virginia,552,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,200478,185325,189250,200133,204225,209175,217425,256600
Montgomery County,Indiana,954,86530,83783,82667,82367,88750,94217,92042,104392,101125,105700,116692,124075,146100
Montgomery County,Kentucky,1107,#DIV/0!,93156,99417,83808,94608,104100,111867,117567,115208,135683,126475,149192,130100
Montrose County,Colorado,919,190360,189975,182558,148850,150383,162242,168367,188933,199983,212942,234125,250333,270600
Moore County,North Carolina,579,189990,193750,189908,191625,191108,179683,160425,173700,169592,184000,201400,201933,208250
Morgan County,Alabama,458,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,113800,109767,121800,131100,128800
Morgan County,Indiana,673,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,132900,138600,150408,157692,162142,175000
Morris County,New Jersey,127,414000,385042,398283,381200,374975,391067,386633,395192,379900,389625,391825,400308,421700
Morrison County,Minnesota,1022,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,118888,128008,127908,135842,145150,148083,164300,163200
Morrow County,Ohio,1007,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,125013,138125,139592,139392,148550,168400
Morton County,North Dakota,1095,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,184250,198800,213975,211150,212492,220358,219292,193350
Mower County,Minnesota,943,#DIV/0!,76383,80108,79358,71317,80875,82150,89742,90267,97758,94475,108700,121550
Muhlenberg County,Kentucky,1048,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,85217,85850,90600,83925,87100
Multnomah County,Oregon,74,267480,241675,237575,223150,233700,262767,280858,298625,333408,365900,385450,396542,410500
Murray County,Georgia,939,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,90938,93067,112983,111908,126450,120300
Muscogee County,Georgia,307,#DIV/0!,#DIV/0!,#DIV/0!,94029,89942,92833,98567,93758,99400,112258,118300,120167,127000
Muskegon County,Michigan,336,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,68289,77367,86417,95217,106492,110008,125667,#DIV/0!
Muskingum County,Ohio,587,78740,73300,79792,82400,83467,85508,93558,104467,112867,107600,108650,118392,124000
Napa County,California,420,435670,345475,345875,322392,343342,432983,495075,544650,576117,623908,649983,673883,677400
Nash County,North Carolina,547,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,113171,106900,118450,127425,130292,137850
