County,State,2013,2014,2015,2016,2017,2018
Galveston County, TX,154200,151200,174700,184600,206400,202300
Garland County, AR,121500,124800,134500,142600,140400,149500
Gaston County, NC,122400,127500,128000,136400,141400,153700
Geauga County, OH,219700,211400,218300,228300,259200,245700
Genesee County, MI,82800,93800,99200,106900,110000,118700
Gloucester County, NJ,207900,209600,211800,218600,222100,221600
Glynn County, GA,146000,151600,172500,174600,170700,185400
Grafton County, NH,205500,214700,213400,224500,217300,233900
Grand Forks County, ND,162400,154300,191900,199000,205100,208200
Grand Traverse County, MI,164700,166400,177100,212300,198000,220200
Grant County, WA,146300,160400,160300,159300,177900,201600
Grant County, IN,77500,86100,84900,94100,99600,84500
Grays Harbor County, WA,156300,169700,157400,151800,169200,193300
Grayson County, TX,99300,109100,112300,125200,139500,163100
Greene County, OH,157500,159000,160000,168500,170900,183800
Greene County, MO,123300,130900,137100,142600,148000,148000
Greene County, TN,113400,115900,107500,133600,115700,130500
Greenville County, SC,157500,160100,161200,173400,182300,192700
Greenwood County, SC,96600,102100,119900,126000,129400,111400
Gregg County, TX,132300,126400,130100,123600,137600,141100
Guadalupe County, TX,162400,165900,173900,182300,190000,210200
Guaynabo Municipio, PR,210500,172400,199700,174800,183200,164000
Guilford County, NC,159200,154700,160700,160900,164500,170300
Gwinnett County, GA,159300,172900,183200,194500,220000,232600
Hall County, GA,160900,156400,173600,184000,195600,217900
Hamilton County, OH,140900,140000,144000,150100,151600,162100
Hamilton County, TN,155300,160400,164300,172800,177300,182100
Hamilton County, IN,225000,233100,235500,244100,266500,280100
Hampden County, MA,193600,198900,197900,198700,208800,217600
Hampshire County, MA,256800,259000,281700,288700,273200,291800
Hampton city, VA,185200,188900,183700,194900,184100,186400
Hancock County, OH,122100,128400,141000,145400,133500,152900
Hancock County, IN,154900,164300,154700,169000,160500,177600
Hanover County, VA,262100,257600,269400,266500,291600,294700
Hardin County, KY,142200,142200,145300,162200,151200,162600
Harford County, MD,269500,274600,290600,280600,292500,297200
Harnett County, NC,138700,137400,143900,153600,150700,155400
Harris County, TX,133100,142100,156000,166600,174000,187100
Harrison County, WV,96700,98600,113200,113300,120400,115900
Harrison County, MS,141100,132100,143400,140600,155200,148500
Harrison County, TX,100200,108900,109700,107500,141700,138300
Hartford County, CT,230300,233300,238500,238400,241000,241700
Hawaii County, HI,291900,304600,321400,325000,344800,368200
Hays County, TX,191400,183400,203900,222500,234400,246900
Henderson County, NC,181300,180900,191800,201700,211400,227900
