County,State,2013,2014,2015,2016,2017,2018
Hanover County, VA,101330,101918,103227,104392,105923,107239
Hardin County, KY,108191,108266,106439,107316,108071,110356
Harford County, MD,249215,250105,250290,251032,252160,253956
Harnett County, NC,124987,126666,128140,130881,132754,134214
Harris County, TX,4336853,4441370,4538028,4589928,4652980,4698619
Harrison County, MS,196500,199058,201410,203234,205027,206650
Harrison County, TX,66886,67336,66746,66534,66661,66726
Harrison County, WV,68972,68761,68714,68400,67811,67554
Hartford County, CT,898272,897985,895841,892389,895388,892697
Hawaii County, HI,190821,194190,196428,198449,200381,200983
Hays County, TX,176026,185025,194739,204470,214485,222631
Henderson County, NC,109540,111149,112655,114209,115708,116748
Henderson County, TX,78675,79290,79545,79901,81064,82299
Hendricks County, IN,153879,156056,158192,160610,163685,167009
Hennepin County, MN,1198778,1212064,1223149,1232483,1252024,1259428
Henrico County, VA,318611,321924,325155,326501,327898,329261
Henry County, GA,211128,213869,217739,221768,225813,230220
Hernando County, FL,174441,175855,178439,182835,186553,190865
Hidalgo County, TX,815996,831073,842304,849843,860661,865939
Highlands County, FL,97616,98236,99491,100917,102883,105424
Hillsborough County, FL,1291578,1316298,1349050,1376238,1408566,1436888
Hillsborough County, NH,403985,405184,406678,407761,409697,415247
Hinds County, MS,244899,243729,242891,241229,239497,237085
Honolulu County, HI,983429,991788,998714,992605,988650,980080
Horry County, SC,289650,298832,309199,322342,333268,344147
Houston County, AL,103668,104193,104173,104056,104346,104722
Houston County, GA,147658,149111,150033,152122,153479,155469
Howard County, IN,82760,82982,82556,82568,82363,82366
Howard County, MD,304580,309284,313414,317233,321113,323196
Hudson County, NJ,660282,669115,674836,677983,691643,676061
Humboldt County, CA,134493,134809,135727,136646,136754,136373
Hunt County, TX,87048,88493,89844,92073,93872,96493
Hunterdon County, NJ,126250,126067,125488,124676,125059,124714
Iberia Parish, LA,73878,73913,74103,73273,72176,70941
Imperial County, CA,176584,179091,180191,180883,182830,181827
Indian River County, FL,141994,144755,147919,151563,154383,157413
Indiana County, PA,87745,87706,86966,86364,84953,84501
