ID Geography,County,State,2013,2014,2015,2016,2017,2018
05000US48157,Fort Bend County, TX,88023,87973,95389,90680,90845,91931
05000US25011,Franklin County, MA,52339,55572,58613,57106,58824,59248
05000US29071,Franklin County, MO,50502,51682,48694,55359,55290,58209
05000US37069,Franklin County, NC,,,,,54825,60598
05000US39049,Franklin County, OH,51460,53180,53882,56055,59227,60373
05000US42055,Franklin County, PA,54303,49487,57960,60559,60459,61208
05000US53021,Franklin County, WA,56631,57890,59664,57670,64344,60012
05000US24021,Frederick County, MD,84308,84203,83819,90043,92495,95850
05000US51069,Frederick County, VA,69332,66167,71993,69827,72405,80953
05000US06019,Fresno County, CA,43925,43423,46949,48715,51800,52629
05000US13121,Fulton County, GA,55914,55807,60291,63510,65037,70930
05000US30031,Gallatin County, MT,58809,50238,57535,61211,60901,68266
05000US48167,Galveston County, TX,60869,57991,69190,64939,70494,73840
05000US05051,Garland County, AR,39589,41032,37013,42826,46101,42779
05000US37071,Gaston County, NC,41728,41011,44293,48711,49670,52741
05000US39055,Geauga County, OH,66428,72001,75895,76384,82741,82784
05000US26049,Genesee County, MI,41249,41682,44025,43955,46298,48127
05000US34015,Gloucester County, NJ,71355,79704,77565,79879,86496,81849
05000US13127,Glynn County, GA,41502,47333,46125,48926,50998,55196
05000US33009,Grafton County, NH,56370,57210,58183,61520,64420,66358
05000US38035,Grand Forks County, ND,49248,49532,51264,50008,47496,52853
05000US26055,Grand Traverse County, MI,50830,57312,55013,58532,60601,66163
05000US18053,Grant County, IN,38665,39851,38645,37117,44768,44839
05000US53025,Grant County, WA,46728,51949,51667,48335,58644,53057
05000US53027,Grays Harbor County, WA,41315,43356,44122,49623,47445,48255
05000US48181,Grayson County, TX,44378,52058,48126,52095,56718,51158
05000US29077,Greene County, MO,37779,39611,43675,42062,45117,43771
05000US39057,Greene County, OH,59872,58396,59803,62018,67923,67680
05000US47059,Greene County, TN,35981,36694,34768,41109,37920,47383
05000US45045,Greenville County, SC,49330,49268,51908,55342,55914,61183
05000US45047,Greenwood County, SC,34029,37831,43218,38200,40453,42245
05000US48183,Gregg County, TX,45461,50917,47727,44219,47095,51361
05000US48187,Guadalupe County, TX,58270,61538,64343,68157,66486,74459
05000US72061,Guaynabo Municipio, PR,34649,32064,36446,32240,24792,36309
05000US37081,Guilford County, NC,45726,44069,47786,47262,52098,51803
05000US13135,Gwinnett County, GA,58917,59492,61732,67155,68914,72184
05000US13139,Hall County, GA,44998,52519,55009,54917,61977,61699
05000US18057,Hamilton County, IN,81958,88155,90613,89823,93604,100209
05000US39061,Hamilton County, OH,46967,48770,50990,53229,55048,57189
05000US47065,Hamilton County, TN,47415,48379,48580,47898,51302,57280
05000US25013,Hampden County, MA,48845,49211,51514,51544,51726,52372
05000US25015,Hampshire County, MA,65190,56079,60583,64354,67989,76966
05000US51650,Hampton city, VA,43785,47312,51867,50435,54062,55466
05000US18059,Hancock County, IN,65421,67485,69968,67799,70473,71653
05000US39063,Hancock County, OH,46382,50898,54709,52810,51360,60788
05000US51085,Hanover County, VA,77424,83756,82085,83135,90066,91309
05000US21093,Hardin County, KY,48035,50900,49229,52148,51167,50981
05000US24025,Harford County, MD,77765,79649,78050,84175,80476,88603
05000US37085,Harnett County, NC,45533,44880,48960,51637,51479,51022
05000US48201,Harris County, TX,52489,54178,56629,56377,58645,60232
