ID Geography,Geography,Income (2013),Income (2014),Income (2015),Income (2016),Income (2017),Income (2018),Income (2013),Income (2014),Income (2015),Income (2016),Income (2017),Income (2018),Population (2013),Population (2014),Population (2015),Population (2016),Population (2017),Population (2018),,
05000US24017,"Charles County, MD",88797,88803,88700,95735,97986,94368,3640,5522,3640,4892,8556,8186,152864,154747,156118,157705,159700,161503,,
05000US45019,"Charleston County, SC",51694,53308,57079,56827,60555,63459,2126,2837,2656,2249,3263,3872,372803,381015,389262,396484,401438,405905,,
05000US12015,"Charlotte County, FL",43698,43039,45492,44200,52070,52927,1777,2406,2325,2614,2752,2153,164736,168474,173115,178465,182033,184998,,
05000US13051,"Chatham County, GA",45263,50718,49252,53964,55352,55308,2147,1874,2406,3230,2521,4956,278434,283379,286956,289082,290501,289195,,
05000US37037,"Chatham County, NC",56550,54229,55642,62961,57770,74959,3787,5527,6175,5276,7340,7082,66817,68698,70928,72243,71472,73139,,
05000US36013,"Chautauqua County, NY",40413,41808,44460,42204,46079,45479,2140,1825,2933,2801,2670,2258,133080,132053,130779,129504,129046,127939,,
05000US35005,"Chaves County, NM",45753,39696,38044,40960,44899,43941,4308,4771,6011,4319,4270,5849,65823,65878,65764,65282,64866,64689,,
05000US53007,"Chelan County, WA",51101,50177,56890,52080,61615,57132,2605,6746,5321,8980,8398,5313,73967,74588,75644,76338,76533,77036,,
05000US36015,"Chemung County, NY",45237,50232,53119,51269,51194,53005,3751,3882,3960,2894,4868,3786,88506,87770,87071,86322,85557,84254,,
05000US13057,"Cherokee County, GA",64705,69711,74104,77950,76368,82069,5024,4741,4169,4271,4351,3450,225106,230985,235900,241689,247573,254149,,
05000US51550,"Chesapeake city, VA",67252,66712,67491,72928,76629,80265,4158,1986,4112,4369,4106,4113,230571,233371,235429,237940,240397,242634,,
05000US33005,"Cheshire County, NH",51945,56652,61780,56364,61257,59186,3307,4699,3733,6952,3786,6476,76610,76115,75909,75774,75960,76493,,
05000US42029,"Chester County, PA",83633,85373,90503,92407,96656,99119,3372,3319,2326,2657,3279,3319,509468,512784,515939,516312,519293,522046,,
05000US51041,"Chesterfield County, VA",66881,72878,75131,76059,80800,80655,2371,3077,3150,3368,4925,3052,327745,332499,335687,339009,343599,348556,,
